IssuerID,State,Plan Type,ReportingUnitID,PlanID,OverallRatingValue,MedicalCareRatingValue,MemberExperienceRatingValue,PlanAdministrationRatingValue
10091,OR,PPO,10091-OR-PPO,10091OR0750002,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750004,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750005,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750012,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750013,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750014,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0750020,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0760001,4.0,4.0,4.0,5.0
10091,OR,PPO,10091-OR-PPO,10091OR0760005,4.0,4.0,4.0,5.0
11269,WY,PPO,11269-WY-PPO,11269WY0070004,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0070013,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0070014,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0070016,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0070025,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0070026,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0170016,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0170017,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0170018,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0170020,2.0,1.0,5.0,4.0
11269,WY,PPO,11269-WY-PPO,11269WY0170021,2.0,1.0,5.0,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390001,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390002,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390003,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390004,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390005,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390006,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390013,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390014,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390015,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390022,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390023,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390024,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390025,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390026,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390027,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390028,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390029,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390030,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390031,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390032,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390033,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390034,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390035,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0390036,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400001,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400002,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400003,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400004,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400009,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400010,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400017,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400018,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400021,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400022,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400023,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0400024,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410001,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410002,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410005,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410008,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410009,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410010,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410011,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410012,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410016,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410017,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410018,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410019,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410020,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410021,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410022,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410023,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410024,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410027,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410028,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410029,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410030,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410038,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410039,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410040,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410041,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410042,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410044,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410045,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410046,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410047,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410048,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410049,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410050,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410051,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410055,4.0,4.0,,4.0
11512,NC,EPO,11512-NC-EPO,11512NC0410056,4.0,4.0,,4.0
11512,NC,HMO,11512-NC-HMO,11512NC0430001,,,,
11512,NC,HMO,11512-NC-HMO,11512NC0430002,,,,
11512,NC,HMO,11512-NC-HMO,11512NC0430003,,,,
11512,NC,POS,11512-NC-POS,11512NC0100009,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100011,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100012,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100034,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100044,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100054,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100064,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100065,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100070,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100071,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100072,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100073,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100074,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100075,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100076,3.0,3.0,,4.0
11512,NC,POS,11512-NC-POS,11512NC0100077,3.0,3.0,,4.0
11512,NC,PPO,11512-NC-PPO,11512NC0060002,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060004,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060018,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060028,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060031,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060050,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060051,3.0,3.0,,3.0
11512,NC,PPO,11512-NC-PPO,11512NC0060052,3.0,3.0,,3.0
11574,IL,HMO,11574-IL-HMO,11574IL0010011,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0010045,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0010050,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0010052,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0010053,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020021,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020024,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020025,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020030,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020050,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020052,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020053,,,,4.0
11574,IL,HMO,11574-IL-HMO,11574IL0020060,,,,4.0
11718,TX,HMO,11718-TX-HMO,11718TX0140016,,,,
11718,TX,HMO,11718-TX-HMO,11718TX0140018,,,,
11718,TX,HMO,11718-TX-HMO,11718TX0140019,,,,
11718,TX,HMO,11718-TX-HMO,11718TX0140020,,,,
11718,TX,HMO,11718-TX-HMO,11718TX0140021,,,,
11718,TX,HMO,11718-TX-HMO,11718TX0140022,,,,
13219,NH,HMO,13219-NH-HMO,13219NH0010001,,,,
